timestamp,ticker,price,bid,ask,volume,order_book_depth_usd,regime
1783427750,CSPR/USD,0.035027,0.035015,0.035038,12043.27,2383389.66,normal
1783427751,CSPR/USD,0.035019,0.035004,0.035035,3907.98,1140009.77,normal
1783427752,CSPR/USD,0.035054,0.035021,0.035087,10637.79,1167907.05,normal
1783427753,CSPR/USD,0.035136,0.035112,0.03516,6016.06,2179716.01,normal
1783427754,CSPR/USD,0.035123,0.0351,0.035146,9218.03,1795511.52,normal
1783427755,CSPR/USD,0.03511,0.035086,0.035135,5549.43,1920343.21,normal
1783427756,CSPR/USD,0.035195,0.035177,0.035214,9328.91,1772003.61,normal
1783427757,CSPR/USD,0.035237,0.035207,0.035267,9653.85,2392392.57,normal
1783427758,CSPR/USD,0.035211,0.035189,0.035234,14434.9,914001.66,normal
1783427759,CSPR/USD,0.035241,0.035229,0.035253,3670.93,2478078.48,normal
1783427760,CSPR/USD,0.035216,0.035203,0.035228,4203.13,2161912.36,normal
1783427761,CSPR/USD,0.035191,0.035168,0.035214,17845.94,1677945.18,normal
1783427762,CSPR/USD,0.035204,0.03517,0.035237,7058.94,1824743.25,normal
1783427763,CSPR/USD,0.035101,0.035084,0.035117,31559.31,1797651.75,normal
1783427764,CSPR/USD,0.035008,0.034976,0.03504,15997.95,616792.45,normal
1783427765,CSPR/USD,0.034978,0.034949,0.035007,21707.43,936033.0,normal
1783427766,CSPR/USD,0.034924,0.034908,0.034939,41297.36,2422941.77,normal
1783427767,CSPR/USD,0.03494,0.034931,0.03495,10427.81,1568728.86,normal
1783427768,CSPR/USD,0.034892,0.03488,0.034903,8437.24,1256707.21,normal
1783427769,CSPR/USD,0.034816,0.034789,0.034844,26832.31,2024076.93,normal
1783427770,CSPR/USD,0.034895,0.034881,0.034909,20082.64,1549037.89,normal
1783427771,CSPR/USD,0.034883,0.034864,0.034901,11500.38,526325.54,normal
1783427772,CSPR/USD,0.034886,0.034864,0.034908,40666.76,1972475.19,normal
1783427773,CSPR/USD,0.03481,0.034783,0.034838,11273.44,1964435.12,normal
1783427774,CSPR/USD,0.034781,0.034769,0.034793,13714.64,830297.42,normal
1783427775,CSPR/USD,0.034787,0.034768,0.034806,13588.49,2413320.18,normal
1783427776,CSPR/USD,0.034726,0.034704,0.034747,6325.38,947816.26,normal
1783427777,CSPR/USD,0.034746,0.034723,0.034768,14215.22,1415498.73,normal
1783427778,CSPR/USD,0.034714,0.034684,0.034744,40839.63,729471.92,normal
1783427779,CSPR/USD,0.034698,0.034685,0.034711,19071.96,1706564.64,normal
1783427780,CSPR/USD,0.034666,0.034637,0.034696,13695.89,1250902.24,normal
1783427781,CSPR/USD,0.034765,0.034738,0.034791,11737.99,1206346.92,normal
1783427782,CSPR/USD,0.034764,0.034741,0.034787,17408.15,2153953.75,normal
1783427783,CSPR/USD,0.034708,0.034681,0.034735,24338.47,519123.43,normal
1783427784,CSPR/USD,0.034751,0.034732,0.034771,21750.48,2095893.54,normal
1783427785,CSPR/USD,0.034686,0.034674,0.034699,10244.62,1642897.13,normal
1783427786,CSPR/USD,0.034698,0.034672,0.034724,17323.6,2472197.03,normal
1783427787,CSPR/USD,0.034594,0.034571,0.034616,19613.08,1678886.44,normal
1783427788,CSPR/USD,0.034523,0.034498,0.034548,5968.46,610758.27,normal
1783427789,CSPR/USD,0.034534,0.034516,0.034551,15284.35,601290.65,normal
1783427790,CSPR/USD,0.034573,0.034541,0.034605,2370.74,2266305.97,normal
1783427791,CSPR/USD,0.034582,0.034558,0.034606,19653.82,2182428.29,normal
1783427792,CSPR/USD,0.034576,0.034565,0.034587,22658.14,1191780.15,normal
1783427793,CSPR/USD,0.03456,0.034539,0.03458,24295.27,1736064.97,normal
1783427794,CSPR/USD,0.034482,0.034453,0.03451,9739.67,1479182.71,normal
